Customer Name,Phone number,Total current AR,Within 10 days,Within 20 days ,Within 30 days,Over 30 days
"Cortez,Steven",360-787-2535,2970.00,0,0,0,2970.00
"Crawford,James",360-650-7430,43120.00,0,0,0,43120.00
"Cruz,Christopher",425-409-5310,4950.00,0,0,0,4950.00
"Cummings,Laura",360-156-6129,40920.00,0,0,0,40920.00
"Cunningham,Donald",253-489-2759,3410.00,0,0,0,3410.00
"Daniels,Rose",425-241-9134,6710.00,0,0,0,6710.00
"Daniels,Thomas",425-417-2935,2970.00,0,0,0,2970.00
"Davidson,Kathryn",360-117-5451,1650.00,0,0,1650.00,0
"Davis,Angela",509-378-5054,5610.00,0,0,5610.00,0
"Davis,Catherine",206-285-5539,1540.00,0,0,0,1540.00
"Davis,Edward",509-254-9650,1650.00,0,1650.00,0,0
"Davis,Edward",509-309-4961,1320.00,0,0,0,1320.00
"Davis,Jesse",509-389-5591,6270.00,0,0,0,6270.00
"Davis,Joe",509-867-5598,1131570.00,0,0,0,1131570.00
"Davis,Terry",206-232-8919,8360.00,0,0,0,8360.00
"Dean,Anthony",360-945-7077,10780.00,0,0,0,10780.00
"Dean,Jason",360-575-7484,3300.00,0,0,0,3300.00
"Delacruz,Brenda",509-340-9666,629860.00,0,0,0,629860.00
"Delgado,Christopher",360-142-2169,4070.00,0,0,4070.00,0
"Diaz,Barbara",425-454-2068,1320.00,0,1320.00,0,0
"Diaz,John",425-317-6847,47630.00,0,0,0,47630.00
"Diaz,Robert",425-636-4896,448470.00,0,0,0,448470.00
"Dickerson,Christopher",360-858-5694,9240.00,0,0,0,9240.00
"Dickerson,Diana",360-890-9240,15510.00,0,0,0,15510.00
"Dillon,Mary",360-114-4997,11770.00,0,0,0,11770.00
"Dixon,Paul",509-881-6792,1650.00,0,0,1650.00,0
"Dodson,Jack",425-844-5382,2970.00,0,0,0,2970.00
"Dodson,Marie",425-789-6629,1320.00,0,0,0,1320.00
"Dotson,Christopher",360-257-8445,5940.00,0,5940.00,0,0
"Dotson,Grace",360-419-4469,4510.00,0,0,4510.00,0
"Dotson,Theresa",360-684-6715,8470.00,0,0,0,8470.00
"Douglas,Martha",360-335-6031,9570.00,0,0,0,9570.00
"Dudley,Amy",509-759-6580,1650.00,0,1650.00,0,0
"Dunn,Eric",425-790-7478,2970.00,0,0,0,2970.00
"Duran,Joan",360-610-8171,3960.00,0,0,0,3960.00
"Durham,Elizabeth",509-847-5970,1650.00,0,0,1650.00,0
"Dyer,Christopher",509-375-4749,14190.00,0,0,14190.00,0
"Dyer,David",509-865-7654,1650.00,0,1650.00,0,0
"Eaton,Elizabeth",509-303-4559,2970.00,0,0,0,2970.00
"Eaton,Rachel",509-295-9421,1650.00,0,0,0,1650.00
"Edwards,Charles",206-643-2948,6050.00,0,0,0,6050.00
"Edwards,John",206-425-8668,1320.00,0,0,0,1320.00
"Edwards,Lisa",425-651-7980,1760.00,0,0,0,1760.00
"Edwards,Patrick",425-274-2298,12430.00,0,0,12430.00,0
"Edwards,Robert",206-199-1810,14190.00,0,0,0,14190.00
"Ellis,Anthony",360-811-8558,4950.00,0,0,0,4950.00
"Ellis,Joseph",360-564-1776,11220.00,0,0,0,11220.00
"Ellis,Joseph",360-688-6524,4620.00,0,4620.00,0,0
"England,John",509-521-1457,3300.00,0,3300.00,0,0
"Estrada,Gary",360-349-1584,104170.00,0,0,104170.00,0
"Estrada,Louis",360-460-7658,10450.00,0,10450.00,0,0
"Estrada,Michael",360-996-9988,440.00,0,0,0,440.00
"Estrada,Robert",360-677-5175,4950.00,0,0,0,4950.00
"Evans,John",206-165-1635,8030.00,0,0,0,8030.00
"Evans,Jonathan",206-521-9104,16940.00,0,0,0,16940.00
"Evans,Richard",425-667-5870,14740.00,0,0,0,14740.00
"Everett,Daniel",509-763-1721,8800.00,0,0,0,8800.00
"Ferguson,Arthur",360-270-7172,5170.00,0,0,0,5170.00
"Fletcher,Robert",253-271-7297,9020.00,0,0,0,9020.00
"Flores,David",425-121-4669,8250.00,0,0,0,8250.00
"Flores,Virginia",425-109-6917,2640.00,0,0,0,2640.00
"Flowers,Benjamin",360-713-6103,11330.00,0,0,0,11330.00
"Flowers,James",360-265-8099,4840.00,0,0,0,4840.00
"Forbes,Jessica",509-388-7610,7700.00,0,7700.00,0,0
"Ford,Isabella",253-685-4007,3300.00,0,3300.00,0,0
"Foster,John",360-928-3963,7040.00,0,0,7040.00,0
"Foster,Lawrence",360-604-5891,9460.00,0,0,9460.00,0
"Foster,Ronald",360-919-2747,2750.00,0,0,0,2750.00
"Fowler,James",360-696-4738,4620.00,0,0,0,4620.00
"Fox,Eric",253-260-1518,7480.00,0,7480.00,0,0
"Franco,Raymond",360-175-4307,12100.00,0,0,0,12100.00
"Freeman,Catherine",253-218-8835,1650.00,0,0,0,1650.00
"Freeman,Logan",253-629-8246,2970.00,0,0,2970.00,0
"Fry,Thomas",360-600-2586,8580.00,0,0,0,8580.00
"Fuller,Robert",253-650-7430,12320.00,0,0,0,12320.00
"Galloway,Teresa",360-657-2299,8360.00,0,0,0,8360.00
"Garcia,Daniel",253-694-3386,447370.00,0,0,0,447370.00
"Garcia,Sandra",206-561-9639,1540.00,0,0,1540.00,0
"Garrett,Lisa",360-143-1658,11660.00,0,0,0,11660.00
"Garrison,Tyler",360-288-6625,1320.00,0,0,0,1320.00
"Garza,Bradley",360-714-6156,6710.00,0,0,0,6710.00
"Garza,George",360-888-4254,1650.00,0,0,1650.00,0
"George,Linda",253-462-3286,4290.00,0,0,4290.00,0
"George,Megan",253-341-1294,18150.00,0,0,18150.00,0
"George,Richard",253-477-8642,10780.00,0,0,0,10780.00
"Gibson,John",425-954-5686,10010.00,0,0,0,10010.00
"Gilbert,Barbara",360-264-1706,4620.00,0,0,4620.00,0
"Gillespie,Michael",509-544-6854,9240.00,0,0,9240.00,0
"Gilmore,Michael",509-222-6444,5390.00,0,0,0,5390.00
"Gilmore,William",509-298-2096,13310.00,0,0,0,13310.00
"Glass,Christopher",360-288-1700,5610.00,0,0,0,5610.00
"Gomez,David",253-463-2395,4290.00,0,0,4290.00,0
"Gomez,Edward",253-806-8126,5500.00,0,0,5500.00,0
"Gomez,James",253-535-6313,9790.00,0,0,0,9790.00
"Gomez,Joseph",253-568-5887,5500.00,0,0,0,5500.00
"Gomez,Mary",253-574-4541,29700.00,0,0,29700.00,0
"Gomez,Nancy",253-957-6436,7480.00,0,0,0,7480.00
"Gonzales,Barbara",253-917-1054,7260.00,0,0,7260.00,0
"Gonzales,Cynthia",253-273-4622,4950.00,0,0,4950.00,0
"Gonzales,Denise",360-712-5814,2970.00,0,0,2970.00,0
"Gonzales,Robert",253-139-8420,1980.00,0,0,0,1980.00
"Gonzalez,Abigail",360-945-8089,3300.00,0,0,0,3300.00
"Gonzalez,Jessica",360-460-5304,7590.00,0,7590.00,0,0
"Goodwin,Peter",509-479-8186,1320.00,0,0,0,1320.00
"Gordon,Julia",360-912-8171,2310.00,0,0,0,2310.00
"Graham,Alice",425-902-2940,8690.00,0,0,0,8690.00
"Graham,Jason",425-314-7988,13200.00,0,0,13200.00,0
"Graham,Mary",425-755-3656,3300.00,0,0,0,3300.00
"Grant,Charles",509-242-4295,386650.00,0,0,0,386650.00
"Gray,Madison",425-563-9165,33880.00,0,0,33880.00,0
"Green,Laura",253-539-2188,10120.00,0,0,10120.00,0
"Green,Randy",253-984-1099,3850.00,0,0,3850.00,0
"Green,Robert",253-407-1419,1650.00,0,0,0,1650.00
"Green,Ryan",253-308-6342,8030.00,0,0,0,8030.00
"Greer,Kenneth",360-831-4557,12540.00,0,0,12540.00,0
"Gregory,Christopher",509-583-4136,5170.00,0,0,0,5170.00
"Griffin,Anna",206-133-4035,2970.00,0,0,0,2970.00
"Griffin,Benjamin",206-645-1576,7040.00,0,0,0,7040.00
"Griffin,Jeffrey",206-682-5513,1320.00,0,0,0,1320.00
"Griffith,Diana",360-832-1982,4950.00,0,0,4950.00,0
"Grimes,Robert",509-127-6227,2640.00,0,0,2640.00,0
"Guerra,Brandon",509-197-5812,1320.00,0,0,1320.00,0
"Guthrie,Brandon",509-207-5682,5280.00,0,0,0,5280.00
"Gutierrez,Jordan",509-336-6281,6270.00,0,0,0,6270.00
"Guzman,Kimberly",509-701-9657,1650.00,0,0,0,1650.00
"Hahn,Alexander",509-567-9763,2970.00,0,0,0,2970.00
"Hahn,Joseph",509-921-4533,880.00,0,0,0,880.00
"Hale,Larry",360-510-6370,1650.00,0,0,1650.00,0
"Haley,Carol",509-499-5735,2310.00,0,0,0,2310.00
"Haley,David",509-904-1769,13530.00,0,0,0,13530.00
"Hall,Kevin",253-631-4578,10010.00,0,0,0,10010.00
"Hall,Paul",253-336-6281,11440.00,0,0,11440.00,0
"Hall,Raymond",253-476-9693,26070.00,0,0,0,26070.00
"Hall,Willie",253-904-1011,482790.00,0,0,482790.00,0
"Hammond,Aaron",360-234-9391,11330.00,0,0,0,11330.00
"Hammond,Zachary",360-470-6914,2640.00,0,2640.00,0,0
"Hampton,Mary",999-582-8501,11550.00,0,0,0,11550.00
"Hampton,Steven",999-482-9029,1320.00,0,0,0,1320.00
"Hancock,Christopher",509-416-8465,286000.00,0,286000.00,0,0
"Hardy,David",360-288-6625,9570.00,0,0,0,9570.00
"Harris,Kathleen",206-331-3177,10230.00,0,0,10230.00,0
"Harris,Lawrence",206-685-4007,2970.00,0,0,2970.00,0
"Harrison,Jacob",360-612-7279,2970.00,0,0,0,2970.00
"Harrison,Nicole",360-460-7261,2970.00,0,0,0,2970.00
"Harris,Raymond",206-153-7584,4620.00,0,0,0,4620.00
"Harris,Raymond",206-548-5968,5500.00,0,0,5500.00,0
"Harris,Sophia",206-431-8082,9240.00,0,0,9240.00,0
"Harvey,Christopher",360-509-9113,7590.00,0,0,7590.00,0
"Harvey,Jennifer",360-696-4002,11990.00,0,0,0,11990.00
"Harvey,John",360-395-6938,1320.00,0,0,1320.00,0
"Hatfield,Charles",509-892-4348,10670.00,0,0,0,10670.00
"Hayes,Kenneth",425-376-2308,5610.00,0,0,0,5610.00
"Haynes,Bobby",360-855-8871,12540.00,0,0,12540.00,0
"Hays,Justin",999-648-4846,1650.00,0,0,0,1650.00
"Henderson,Jean",253-502-4444,6160.00,0,0,0,6160.00
"Henry,Eric",253-510-6370,17160.00,0,0,17160.00,0
"Henry,Kevin",253-220-6202,6270.00,0,0,0,6270.00
"Hernandez,Christopher",425-511-9586,1320.00,0,0,1320.00,0
"Hernandez,Jonathan",425-826-6610,574310.00,0,0,0,574310.00
"Hernandez,Susan",425-855-6702,119350.00,0,0,0,119350.00
"Herrera,Elizabeth",360-478-5914,6160.00,0,0,0,6160.00
"Herrera,Robert",360-502-9623,6820.00,0,0,0,6820.00
"Hickman,Daniel",360-608-6349,4400.00,0,0,0,4400.00
"Hicks,Diane",360-730-6384,1320.00,0,0,0,1320.00
"Hicks,Michael",360-621-4782,4070.00,0,4070.00,0,0
"Hicks,William",360-741-5634,1650.00,0,0,1650.00,0
"Hill,Andrea",425-857-2830,5170.00,0,0,0,5170.00
"Hill,Billy",425-840-3124,7810.00,0,0,0,7810.00
"Hill,Thomas",425-845-3208,1003970.00,0,0,0,1003970.00
"Hobbs,Gary",999-319-6170,1320.00,0,0,0,1320.00
"Hoffman,Jason",360-165-1635,14410.00,0,14410.00,0,0
"Hoffman,Sarah",360-345-2031,1320.00,0,0,1320.00,0
"Holden,Alan",509-118-1230,2420.00,0,0,2420.00,0
"Holder,Lauren",509-893-4770,12980.00,0,0,0,12980.00
"Holloway,Isabella",360-109-6917,6270.00,0,0,6270.00,0
"Holloway,Kevin",360-746-7651,1320.00,0,0,0,1320.00
"Holt,Peter",360-654-9420,7590.00,0,0,0,7590.00
"Hood,Louis",360-880-6408,10560.00,0,0,0,10560.00
"Hopkins,Eric",360-860-9328,5830.00,0,0,0,5830.00
"Horn,Donald",360-246-2995,1320.00,0,0,0,1320.00
"Horn,Mark",360-825-3993,1320.00,0,0,0,1320.00
"Howard,Barbara",425-182-6246,9790.00,0,0,0,9790.00
"Howard,Nathan",253-816-7764,550.00,0,0,550.00,0
"Hudson,Eric",253-100-8081,13090.00,0,0,13090.00,0
"Hudson,Raymond",253-616-9148,11000.00,0,0,11000.00,0
"Huffman,Robert",509-489-3447,2970.00,0,0,0,2970.00
"Hughes,Kayla",360-123-9256,6160.00,0,0,0,6160.00
"Hughes,Richard",360-731-6386,15840.00,0,0,0,15840.00
"Hunter,James",360-885-1769,5170.00,0,0,5170.00,0
"Hunter,Mary",360-587-4769,8250.00,0,0,0,8250.00
"Hunter,Rebecca",360-290-3448,2530.00,0,0,0,2530.00
"Hurley,Daniel",509-677-8939,8470.00,0,0,8470.00,0
"Hutchinson,Rachel",360-822-8472,5170.00,0,0,5170.00,0
"Irwin,Ralph",360-851-6639,8580.00,0,0,0,8580.00
"Jackson,Linda",509-156-5171,3410.00,0,0,0,3410.00
"Jackson,Michael",509-133-4035,12760.00,0,0,0,12760.00
"Jackson,Richard",509-175-4307,2970.00,0,0,0,2970.00
"Jackson,Steven",509-384-2177,3410.00,0,0,3410.00,0
"Jackson,Thomas",509-368-1346,7920.00,0,7920.00,0,0
"Jacobs,Margaret",253-923-1024,15840.00,0,0,15840.00,0
"Jacobs,Nathan",253-588-3810,12760.00,0,0,0,12760.00
"Jacobson,Gary",509-172-8349,15950.00,0,0,15950.00,0
"James,Bruce",206-248-2005,311850.00,0,0,311850.00,0
"James,Jennifer",206-501-7750,2970.00,0,0,0,2970.00
"James,Kevin",206-220-8976,4840.00,0,4840.00,0,0
"Jarvis,Ashley",509-521-1457,13090.00,0,13090.00,0,0
"Jarvis,Emily",509-598-9694,91520.00,0,0,0,91520.00
"Jennings,Brian",360-460-7261,2970.00,0,0,2970.00,0
"Jennings,Karen",360-778-7336,1320.00,0,0,0,1320.00
"Jennings,Sarah",360-817-6608,408100.00,0,0,0,408100.00
"Johnson,Charlotte",206-286-8386,1320.00,0,0,1320.00,0
"Johnson,Cynthia",206-862-6717,14850.00,0,0,0,14850.00
"Johnson,Deborah",253-616-3841,8360.00,0,8360.00,0,0
"Johnson,Debra",206-725-1385,6490.00,0,0,0,6490.00
"Johnson,Donna",206-141-5984,5500.00,0,0,0,5500.00
"Johnson,Doris",206-553-2879,8690.00,0,0,8690.00,0
"Johnson,Edward",253-968-4511,7920.00,0,7920.00,0,0
"Johnson,Jack",206-794-2790,10780.00,0,0,10780.00,0
"Johnson,Johnny",206-415-3578,452870.00,0,0,452870.00,0
"Johnson,Justin",206-454-3875,7920.00,0,7920.00,0,0
"Johnson,Kathleen",206-222-6444,2970.00,0,0,0,2970.00
"Johnson,Peter",206-477-1893,10230.00,0,0,0,10230.00
"Johnson,Robert",206-916-6730,5610.00,0,5610.00,0,0
"Johnson,Robert",206-982-5045,188210.00,0,0,0,188210.00
"Johnson,William",253-717-3614,10120.00,0,0,10120.00,0
"Johnston,Henry",253-634-4012,1650.00,0,0,0,1650.00
"Johnston,Jacqueline",253-319-8556,3190.00,0,0,0,3190.00
"Jones,Alexis",206-544-6014,1320.00,0,0,0,1320.00
"Jones,Amanda",206-169-5816,1650.00,0,0,0,1650.00
"Jones,Christina",206-656-4122,1650.00,0,0,0,1650.00
"Jones,Christopher",206-975-6197,12650.00,0,0,0,12650.00
"Jones,David",206-351-3026,4510.00,0,0,0,4510.00
"Jones,George",206-290-9275,21120.00,0,0,21120.00,0
"Jones,Gloria",206-813-2443,1650.00,0,0,0,1650.00
"Jones,Henry",206-347-7395,11220.00,0,0,0,11220.00
"Jones,James",206-171-9129,29260.00,0,29260.00,0,0
"Jones,Linda",206-749-1170,5170.00,0,0,0,5170.00
"Jones,Pamela",206-552-4834,1320.00,0,0,1320.00,0
"Jones,Robert",206-685-4550,9020.00,0,0,9020.00,0
"Jones,Robert",206-977-6861,9460.00,0,0,0,9460.00
"Jones,Ronald",206-215-2428,9680.00,0,0,0,9680.00
"Jones,Shirley",206-293-9059,1320.00,0,0,1320.00,0
"Jordan,Margaret",253-420-4156,1650.00,0,0,0,1650.00
"Justice,Edward",509-218-8835,4290.00,0,4290.00,0,0
"Kelley,Jason",360-288-6489,6490.00,0,0,6490.00,0
"Kennedy,James",360-995-6589,12540.00,0,0,12540.00,0
"Kim,Matthew",253-325-6450,24970.00,0,0,0,24970.00
"King,Amy",425-805-7482,9900.00,0,0,9900.00,0
"King,Angela",425-783-8487,301620.00,0,0,0,301620.00
"King,Christopher",360-478-9388,11880.00,0,0,0,11880.00
"King,Grace",425-173-9742,550000.00,0,0,550000.00,0
"King,John",425-183-8377,1650.00,0,0,0,1650.00
"King,Kenneth",360-853-9042,10560.00,0,10560.00,0,0
"King,Ralph",425-218-3995,1320.00,0,0,0,1320.00
"King,Willie",360-129-4727,1650.00,0,0,0,1650.00
"Kirby,Steven",509-169-4243,1650.00,0,0,1650.00,0
"Klein,John",360-513-6179,6270.00,0,0,6270.00,0
"Landry,Jessica",509-957-6436,3960.00,0,3960.00,0,0
"Langley,Elizabeth",509-150-6139,5830.00,0,0,0,5830.00
"Larsen,Austin",999-860-9328,10560.00,0,0,0,10560.00
"Larson,Brenda",360-709-9058,5940.00,0,0,0,5940.00
"Lawrence,Thomas",509-303-4559,10230.00,0,0,0,10230.00
"Lawson,Keith",509-422-7699,9350.00,0,0,0,9350.00
"Lawson,Mark",509-386-6046,1228480.00,0,0,0,1228480.00
"Lee,Brandon",509-401-1197,7040.00,0,0,7040.00,0
"Lee,Edward",253-569-9189,1320.00,0,0,1320.00,0
"Lee,Karen",509-575-3063,3630.00,0,0,0,3630.00
"Lee,Patrick",509-775-3650,11880.00,0,0,0,11880.00
"Lee,Sarah",509-285-1851,19800.00,0,0,19800.00,0
