company_code,Customer Name,Phone number,rie_id,age_in_days,Current AR
US001,"House,Richard",360-646-5529,65,40,39270.00
US001,"Huff,Benjamin",509-892-5481,1781,27,12870.00
US001,"Huff,Daniel",509-816-5810,253,28,25740.00
US001,"Huffman,Mark",509-989-9933,1140,34,20350.00
US001,"Huffman,Michael",509-281-6193,443,35,33110.00
US001,"Hull,Nicole",360-623-6402,1096,43,1650.00
US001,"Humphrey,Lauren",360-402-9963,1358,35,16830.00
US001,"Hunter,Abigail",360-867-9927,1492,28,33330.00
US001,"Hunt,Richard",425-662-1104,241,34,34980.00
US001,"Ingram,Madison",509-717-7145,1676,39,18480.00
US001,"Jackson,James",509-252-4085,2304,46,31790.00
US001,"Jackson,Kyle",509-282-5325,2028,38,43340.00
US001,"Jackson,Sarah",509-953-2847,327,39,9900.00
US001,"James,Cynthia",425-202-9760,1368,31,6380.00
US001,"James,Michael",206-750-3635,910,34,23100.00
US001,"Jefferson,Anthony",360-654-8406,818,45,25740.00
US001,"Jennings,Elizabeth",360-254-6434,1034,29,23210.00
US001,"Johnson,Albert",206-759-9895,685,46,3300.00
US001,"Johnson,Albert",206-759-9895,370,24,11550.00
US001,"Johnson,John",206-736-9505,2163,46,9240.00
US001,"Johnson,Robert",206-133-7683,1871,17,34650.00
US001,"Johnson,Russell",206-605-5149,2476,35,58300.00
US001,"Johnston,Abigail",253-727-8995,215,40,7590.00
US001,"Johnston,Billy",253-247-6193,628,27,53350.00
US001,"Jones,Abigail",206-621-5365,1081,38,26400.00
US001,"Jones,Brian",206-191-2595,2213,22,32890.00
US001,"Jones,Donald",206-997-1434,2064,42,8800.00
US001,"Jones,Frank",206-322-6885,1867,25,18480.00
US001,"Jones,Heather",206-374-6715,2021,41,20680.00
US001,"Jones,Laura",206-570-7972,1171,23,31460.00
US001,"Jones,Lawrence",206-816-2187,2446,30,26400.00
US001,"Jones,Lawrence",206-391-4228,690,28,33110.00
US001,"Jones,Mark",206-377-4867,553,41,25080.00
US001,"Jones,Steven",206-399-5037,1434,40,7700.00
US001,"Jones,Tyler",206-106-8448,817,37,22440.00
US001,"Jones,Victoria",206-308-6747,358,28,10560.00
US001,"Jordan,Cynthia",253-334-8527,278,30,64570.00
US001,"Jordan,Sarah",253-882-4192,88,46,18590.00
US001,"Justice,Gary",509-863-6769,1742,24,43450.00
US001,"Keller,Mary",360-330-7757,782,43,7810.00
US001,"Kelly,Billy",360-879-2809,623,26,1540.00
US001,"Kelly,Sarah",360-895-4430,1234,32,50820.00
US001,"Kent,Dorothy",509-606-5188,1897,28,19800.00
US001,"Key,Anthony",360-657-6820,2263,24,11550.00
US001,"Kim,Richard",253-810-6232,2448,35,9570.00
US001,"King,Gary",425-857-2426,820,21,1760.00
US001,"King,John",425-448-4141,1216,24,37180.00
US001,"King,Timothy",360-850-6164,317,23,36080.00
US001,"Kirk,Matthew",509-396-5695,908,30,36630.00
US001,"Klein,Aaron",360-256-1077,2328,19,23100.00
US001,"Knight,Michael",360-678-3946,524,30,43670.00
US001,"Landry,Brian",509-382-4832,208,44,3960.00
US001,"Lawson,Lisa",509-259-9496,2091,33,43560.00
US001,"Lawson,Pamela",509-177-8832,1949,28,2200.00
US001,"Leblanc,Susan",360-950-6194,1635,41,9900.00
US001,"Lee,David",253-503-4329,657,40,17490.00
US001,"Lee,Olivia",509-807-3339,948,45,53020.00
US001,"Lee,Susan",509-730-9166,1529,35,44880.00
US001,"Lee,William",253-918-6321,6,23,54780.00
US001,"Lewis,Diane",425-140-7013,777,22,50710.00
US001,"Lewis,Mary",425-630-9352,2034,19,45100.00
US001,"Lindsey,Keith",360-390-7847,2353,36,1430.00
US001,"Little,Jean",360-117-6112,2327,27,23320.00
US001,"Long,Jacob",360-735-6382,1225,43,32670.00
US001,"Lopez,Cynthia",425-828-7737,1703,46,33440.00
US001,"Lynch,Ryan",253-169-4500,1502,31,1210.00
US001,"Macdonald,Michael",509-790-5270,1481,42,4290.00
US001,"Mack,Shirley",206-618-4048,1642,20,36520.00
US001,"Manning,Timothy",360-327-1652,2303,19,52690.00
US001,"Martinez,Carolyn",425-856-7050,1437,43,7260.00
US001,"Martinez,Megan",425-120-4758,1692,18,18150.00
US001,"Martin,John",206-132-2596,120,31,37950.00
US001,"Martin,Melissa",206-155-1636,1602,25,13530.00
US001,"Martin,Michael",206-684-6991,728,43,34100.00
US001,"Maxwell,David",360-414-9451,1622,20,26070.00
US001,"Mccall,Victoria",509-471-9079,1265,38,16940.00
US001,"Mccray,Victoria",509-413-3452,974,45,1210.00
US001,"Mcdonald,Daniel",425-655-2606,1593,42,35200.00
US001,"Mejia,William",360-523-3637,87,22,13200.00
US001,"Mendoza,Donald",360-620-7728,1755,38,3960.00
US001,"Mendoza,Jack",360-505-5275,1716,39,28820.00
US001,"Middleton,Linda",999-973-5773,1322,46,44330.00
US001,"Miles,Michael",360-687-6380,4,40,37950.00
US001,"Miller,Christopher",253-123-9635,781,39,37620.00
US001,"Miller,Laura",253-849-6011,1198,45,12210.00
US001,"Miller,Matthew",425-380-1533,1115,41,49720.00
US001,"Miranda,Lisa",999-881-3974,2294,18,1320.00
US001,"Mitchell,Paul",253-780-8374,2009,21,1650.00
US001,"Montgomery,Frank",425-908-6040,1149,36,770.00
US001,"Montgomery,Natalie",425-286-9584,305,32,19800.00
US001,"Moore,Christopher",425-256-8864,1504,23,28270.00
US001,"Moore,Melissa",425-639-4166,823,22,49940.00
US001,"Moore,Zachary",253-235-5282,386,26,31350.00
US001,"Morales,John",509-991-5321,2342,33,26180.00
US001,"Moreno,David",360-400-8710,1211,35,31350.00
US001,"Moreno,Kathleen",360-892-4059,1047,22,19360.00
US001,"Morgan,Janet",253-521-6819,644,43,33000.00
US001,"Morgan,Janet",253-521-6819,230,43,15840.00
US001,"Morris,Christopher",425-218-5004,1262,45,12210.00
US001,"Morris,Sharon",509-938-9088,947,39,16500.00
US001,"Myers,Samuel",425-470-4623,1464,41,1540.00
US001,"Nelson,Judith",360-363-7114,749,21,18480.00
US001,"Nelson,Mary",360-346-3635,518,42,5280.00
US001,"Newman,Timothy",360-388-4696,784,17,42570.00
US001,"Newton,John",360-260-9127,1511,35,21230.00
US001,"Nichols,Jose",509-958-8996,688,40,37950.00
US001,"Nichols,Mark",999-441-3956,968,23,42570.00
US001,"Noel,Juan",360-417-2054,933,43,16940.00
US001,"Nolan,Alice",509-833-4190,1166,35,55110.00
US001,"Obrien,Nicholas",360-867-1408,1128,22,23430.00
US001,"Oconnor,David",509-261-6701,75,33,26400.00
US001,"Oliver,Jeffrey",425-458-1251,461,39,330.00
US001,"Oneal,James",509-625-6801,1943,36,15070.00
US001,"Palmer,Larry",425-396-6564,498,17,19580.00
US001,"Parker,Harold",206-536-4545,1730,36,40150.00
US001,"Parker,Kimberly",206-293-9330,1317,17,17160.00
US001,"Patel,Benjamin",360-686-9545,1658,30,9900.00
US001,"Patton,Paul",425-380-4765,1721,39,660.00
US001,"Patton,Paul",425-380-4765,1836,28,18810.00
US001,"Paul,Evelyn",509-903-6179,1724,30,53020.00
US001,"Perez,Betty",253-126-6817,1403,45,22440.00
US001,"Peters,Marilyn",360-763-3554,2059,41,22990.00
US001,"Petty,Barbara",360-398-7374,1710,33,17160.00
US001,"Phillips,Adam",360-352-3831,757,26,35310.00
US001,"Pollard,Cynthia",509-346-2365,2449,35,6600.00
US001,"Porter,Danielle",360-693-5300,509,21,33000.00
US001,"Potter,Rebecca",509-593-3147,1299,18,19250.00
US001,"Powers,Linda",509-795-3877,1734,23,44220.00
US001,"Pratt,Kenneth",360-651-2005,180,45,35970.00
US001,"Preston,Jonathan",999-749-8683,1575,24,55110.00
US001,"Price,Frances",360-832-7511,1604,28,9240.00
US001,"Ramirez,Larry",425-403-4837,588,43,23760.00
US001,"Ramirez,Wayne",425-252-4272,1241,22,9900.00
US001,"Ramsey,Andrew",253-701-6155,1926,17,880.00
US001,"Randall,Kimberly",509-679-3232,676,27,4950.00
US001,"Randall,Kimberly",509-679-3232,1450,33,5280.00
US001,"Ray,Ashley",360-651-4557,617,27,16940.00
US001,"Ray,Ashley",360-651-4557,2414,43,9900.00
US001,"Ray,Gabriel",360-776-3380,2222,32,14850.00
US001,"Ray,Gabriel",360-776-3380,1591,22,9900.00
US001,"Reed,Angela",360-387-6924,1626,37,19800.00
US001,"Reed,Angela",360-387-6924,453,43,52690.00
US001,"Reed,Walter",206-351-8978,2001,31,44440.00
US001,"Reeves,Debra",360-652-1521,1419,46,10560.00
US001,"Reeves,Michael",360-871-3981,768,36,40040.00
US001,"Reid,Hannah",253-833-1614,2159,17,27720.00
US001,"Reid,Marilyn",253-107-7943,2358,27,30910.00
US001,"Reilly,Willie",509-306-7528,438,18,29370.00
US001,"Reyes,Jack",360-244-1103,1876,17,21670.00
US001,"Reyes,Jack",360-244-1103,1067,46,330.00
US001,"Reyes,Joseph",360-412-4038,123,41,14080.00
US001,"Reynolds,David",509-971-1194,165,25,14850.00
US001,"Reynolds,John",509-601-2128,1173,38,660.00
US001,"Richardson,Dorothy",253-156-4930,1025,39,9680.00
US001,"Richardson,Olivia",253-296-7449,383,18,4620.00
US001,"Richardson,Paul",253-266-4762,2443,31,2200.00
US001,"Richards,Samantha",425-666-6363,474,31,16170.00
US001,"Rios,Brenda",360-960-7785,1341,21,39490.00
US001,"Rivera,James",425-753-1793,1592,24,44660.00
US001,"Rivera,Michael",425-714-4879,976,36,23650.00
US001,"Rivers,Carolyn",509-267-6721,122,46,1100.00
US001,"Roach,Michael",360-418-7218,1560,21,14850.00
US001,"Roberts,John",425-603-6718,2275,27,20240.00
US001,"Roberts,Lauren",425-831-9957,1584,30,33990.00
US001,"Roberts,Logan",425-430-3368,2173,36,1650.00
US001,"Roberts,Maria",425-939-5285,384,42,6930.00
US001,"Robertson,Patricia",253-297-3816,421,35,880.00
US001,"Robertson,Ryan",253-143-1507,1443,21,1540.00
US001,"Robinson,Christopher",253-848-8612,2072,27,1760.00
US001,"Robinson,James",253-351-8193,1012,41,25960.00
US001,"Robinson,James",425-495-5790,2240,38,42570.00
US001,"Robinson,Mary",425-440-4907,538,44,20020.00
US001,"Robles,Anthony",360-948-8090,1267,25,13860.00
US001,"Robles,Linda",360-506-3606,1463,46,14520.00
US001,"Rodgers,Ruth",360-266-8052,38,19,220.00
US001,"Rodriguez,Anna",253-939-6853,2204,42,42900.00
US001,"Rodriguez,Anna",253-939-6853,157,21,51370.00
US001,"Rodriguez,Brandon",425-703-6351,2031,35,1650.00
US001,"Rodriguez,Mary",425-981-3786,1820,17,35860.00
US001,"Rodriguez,Richard",425-325-8499,586,23,27610.00
US001,"Rogers,Adam",509-871-8195,102,27,51150.00
US001,"Rogers,Michael",360-636-4804,507,38,6050.00
US001,"Rogers,Richard",360-624-7989,1776,27,28710.00
US001,"Rojas,Brenda",360-995-6919,1750,27,8690.00
US001,"Rojas,Janice",360-472-9411,1737,30,40810.00
US001,"Romero,Thomas",360-537-1800,930,35,43670.00
US001,"Rosa,Judy",999-230-2081,141,45,15840.00
US001,"Ross,Kathryn",425-726-7705,126,31,18260.00
US001,"Rowe,Donna",509-384-1925,2401,29,1650.00
US001,"Rowe,Timothy",509-304-7957,1587,39,1870.00
US001,"Ruiz,John",253-323-2784,1070,27,43890.00
US001,"Rush,Dylan",425-474-5808,2256,46,26180.00
US001,"Russell,Thomas",206-426-7705,828,30,30030.00
US001,"Ryan,Samuel",509-142-6874,22,23,11880.00
US001,"Sanchez,David",425-403-6221,2004,38,5280.00
US001,"Sanchez,Helen",425-427-6477,574,38,10340.00
US001,"Sanchez,Jack",425-647-9695,898,42,26400.00
US001,"Sanders,Cynthia",360-198-5838,1638,40,28600.00
US001,"Sanders,Rebecca",360-261-3438,2154,44,11880.00
US001,"Sanders,Robert",360-395-3176,1053,35,12430.00
US001,"Sanders,William",360-497-4976,1706,38,28380.00
US001,"Sargent,Charles",509-803-5125,2006,39,10560.00
US001,"Savage,James",360-605-5807,1494,37,23430.00
US001,"Schneider,Kimberly",360-841-6332,714,37,25080.00
US001,"Schultz,Jerry",509-925-6556,1474,45,3300.00
US001,"Scott,David",253-733-4195,1975,41,25080.00
US001,"Scott,Donna",253-706-5115,1076,35,1760.00
US001,"Scott,Donna",253-706-5115,1896,38,13420.00
US001,"Sharpe,Billy",509-613-7179,61,27,20130.00
US001,"Sharp,James",360-101-2761,255,40,49610.00
US001,"Sharp,Joyce",360-168-5379,1219,18,26290.00
US001,"Shaw,Richard",253-247-9028,2399,28,35310.00
US001,"Simmons,Richard",360-665-2344,2412,45,18150.00
US001,"Simon,Brian",360-889-2200,212,29,440.00
US001,"Singleton,Timothy",360-195-2994,2433,26,24750.00
US001,"Smith,Ashley",206-544-1453,1236,31,54890.00
US001,"Smith,Billy",206-349-2495,2481,44,20130.00
US001,"Smith,Brittany",206-207-6298,2314,44,22770.00
US001,"Smith,Catherine",206-156-8892,1271,17,42570.00
US001,"Smith,Cheryl",206-697-4095,9,42,8580.00
US001,"Smith,David",206-989-7334,516,36,45980.00
US001,"Smith,Gary",206-440-6489,1331,40,9240.00
US001,"Smith,Helen",206-926-5522,281,38,40700.00
US001,"Smith,James",206-255-3952,1196,46,28490.00
US001,"Smith,Karen",206-742-9653,380,18,1320.00
US001,"Smith,Keith",206-655-9581,2092,25,18150.00
US001,"Smith,Margaret",206-925-2540,664,30,19030.00
US001,"Smith,Nancy",206-158-3735,1697,31,5280.00
US001,"Smith,Olivia",206-575-8561,403,42,3630.00
US001,"Smith,Ruth",206-901-4580,1983,35,27720.00
US001,"Smith,Tyler",206-922-3671,287,20,33000.00
US001,"Snyder,Charles",253-948-4039,1907,38,16280.00
US001,"Snyder,Marilyn",253-350-1743,1759,21,18480.00
US001,"Solomon,Michelle",360-873-4156,571,25,11880.00
US001,"Spears,Donna",999-849-4351,1849,39,41250.00
US001,"Spencer,William",253-719-4472,789,24,47630.00
US001,"Spencer,William",253-440-7188,1028,46,2310.00
US001,"Stark,Arthur",509-469-6375,368,40,220.00
US001,"Stevens,Carol",509-755-5138,838,38,1760.00
US001,"Stevenson,Melissa",360-644-4658,1158,33,1320.00
US001,"Stevenson,Melissa",360-644-4658,752,23,34980.00
US001,"Stewart,Richard",425-873-6423,325,36,220.00
US001,"Strong,Willie",360-801-8841,1566,39,25080.00
US001,"Sullivan,Gloria",425-345-3401,2,20,25080.00
US001,"Sutton,William",360-475-6132,1275,32,4070.00
US001,"Sweeney,Dennis",360-251-7267,880,44,40920.00
US001,"Taylor,Alexis",425-661-9305,1803,22,32340.00
US001,"Taylor,Christine",360-231-8259,744,26,30030.00
US001,"Taylor,Christopher",253-901-4559,821,20,39820.00
US001,"Taylor,Edward",425-623-3405,345,17,13530.00
US001,"Taylor,Elizabeth",360-592-8781,1426,29,10780.00
US001,"Taylor,Philip",425-314-1156,425,27,2200.00
US001,"Terrell,David",509-750-2596,2332,31,33000.00
US001,"Thomas,William",253-884-3611,1098,46,33660.00
US001,"Thompson,Anthony",206-575-9388,917,45,990.00
US001,"Thompson,Donald",206-492-1121,1111,45,38500.00
US001,"Thompson,Mary",206-934-1859,1338,42,25410.00
US001,"Thompson,Natalie",206-412-5747,1761,39,28050.00
US001,"Thompson,Thomas",206-848-7583,2214,44,23760.00
US001,"Thornton,Ashley",360-963-3297,1293,43,26400.00
US001,"Thornton,Christopher",360-290-5108,1992,20,48620.00
US001,"Travis,Joseph",509-222-9357,408,26,20570.00
US001,"Trevino,Gabriel",360-876-6891,140,28,37950.00
US001,"Turner,Michael",425-751-7805,1527,31,11550.00
US001,"Valenzuela,Kenneth",509-402-8179,1770,36,18150.00
US001,"Vasquez,Lawrence",206-209-4846,1089,23,15730.00
US001,"Vaughn,Vincent",360-316-2062,2326,18,23430.00
US001,"Vazquez,Cynthia",360-925-2055,1123,38,18480.00
US001,"Vega,John",360-812-9896,204,36,1760.00
US001,"Vega,Nancy",360-360-4720,2343,46,38500.00
US001,"Velez,Charlotte",425-857-4548,1647,46,26290.00
US001,"Walker,Elizabeth",253-791-8847,399,28,16500.00
US001,"Walker,Joseph",253-793-6194,1952,28,19910.00
US001,"Walker,Joseph",253-793-6194,837,43,6600.00
US001,"Wallace,Natalie",253-482-8371,1442,17,18150.00
US001,"Wallace,William",253-995-8716,1854,41,10450.00
US001,"Waller,Mary",509-473-3559,651,34,3300.00
US001,"Walls,Anna",509-343-7736,280,26,19800.00
US001,"Walls,Michelle",509-685-2611,2297,19,6600.00
US001,"Walton,Mary",509-865-7195,231,30,20790.00
US001,"Ward,Sharon",253-633-5324,1191,25,31460.00
US001,"Warner,Anthony",360-899-5285,1933,42,14520.00
US001,"Warren,Mary",360-514-8515,2277,20,28380.00
US001,"Watkins,Megan",425-773-6941,534,22,25080.00
US001,"Watkins,William",425-943-9782,2115,21,44660.00
